,F1,F2,F3
active_days,0.04199484083814309,0.4271080748552802,-0.5881079613290319
pack_sale,0.8493183868945273,-0.20290503789172964,-0.060132996543091226
scan_stab,0.26410911753402383,0.4938305960846868,0.08461248358111444
scan_intv,0.23203597576269852,0.6128074411606304,0.34256805941191615
brand_wid,-0.34121185839618756,-0.3222369313585626,-0.22306774939781707
inv_sales,-0.14282072991811026,0.6456774773903916,-0.31885516109471845
sales_ord,-0.256468907848226,0.7630156581199311,-0.014385606654276411
inv_dev,0.002712509138379492,0.10998213928163802,0.7649235289557231
txn_qty,0.8661531803813621,-0.026650077208424224,0.05947640063690382
inv_chg,-0.18569575489788454,0.4418423718583453,0.221001545483143
op_match,-0.6778766411568558,-0.18633623085534695,-0.03109970761675578
